Change,Excluded,Original,en,it,
NEW,,"A massive fang from a dragon's
maw.","A massive fang from a dragon's
maw.",Un'enorme zanna dalle fauci di un drago.,
NEW,,"Shimmering scales from a water
elemental.","Shimmering scales from a water
elemental.",Scaglie scintillanti di un elementale dell'acqua.,
NEW,,"A pulsing orb harvested from a
fallen golem.","A pulsing orb harvested from a
fallen golem.",Un globo pulsante raccolto da un golem caduto.,
NEW,,"The translucent wings of a 
fairy creature.","The translucent wings of a 
fairy creature.",Le ali trasparenti di una creatura fatata.,
NEW,,"A horn from the legendary 
unicorn.","A horn from the legendary 
unicorn.",Un corno del leggendario unicorno.,
NEW,,"Crystalized tears from a 
banshee.","Crystalized tears from a 
banshee.",Lacrime cristallizzate di una banshee.,
NEW,,"The eye of a beholder 
creature.","The eye of a beholder 
creature.",L'occhio di una creatura che osserva.,
NEW,,"A circuit board from a 
mechanical sentinel.","A circuit board from a 
mechanical sentinel.",Un circuito stampato di una sentinella meccanica.,
NEW,,"A gel-like substance from a 
dimensional rift.","A gel-like substance from a 
dimensional rift.","Una sostanza gelatinosa proveniente da una
frattura dimensionale.",
NEW,,"The tattered shroud of a 
vengeful ghost.","The tattered shroud of a 
vengeful ghost.",Il sudario lacero di un fantasma vendicativo.,
NEW,,"A metal chunk from a fallen 
alien exoskeleton.","A metal chunk from a fallen 
alien exoskeleton.","Un pezzo di metallo di un esoscheletro alieno
caduto.",
NEW,,"The severed hand of a 
reanimated corpse.","The severed hand of a 
reanimated corpse.",La mano mozzata di un cadavere rianimato.,
NEW,,"Hardened slime from an acidic 
ooze creature.","Hardened slime from an acidic 
ooze creature.",Melma indurita di una creatura acida e viscida.,
NEW,,"A strange egg from a mythical 
griffin.","A strange egg from a mythical 
griffin.",Uno strano uovo di un grifone mitico.,
NEW,,"A segment of exoskeleton from 
a giant insect.","A segment of exoskeleton from 
a giant insect.",Un segmento di esoscheletro di un insetto gigante.,
NEW,,"Tail of a manticore, complete 
with poisonous barbs.","Tail of a manticore, complete 
with poisonous barbs.",Coda di manticora,
NEW,,"Crystallized breath from an 
ice drake.","Crystallized breath from an 
ice drake.",Alito cristallizzato di un drago di ghiaccio.,
NEW,,"Remains of a shadow creature 
that slipped between dimensions.","Remains of a shadow creature 
that slipped between dimensions.","Resti di una creatura ombra spostata tra le
dimensioni.",
NEW,,"A small, bud-like growth from 
a sentient plant creature.","A small, bud-like growth from 
a sentient plant creature.","Una piccola escrescenza simile a un germoglio,
proveniente da una creatura vegetale senziente.",
NEW,,"A pulsing organ from a strange
deep sea creature.","A pulsing organ from a strange
deep sea creature.","Un organo pulsante di una strana creatura degli
abissi.",
NEW,,"A small storage drive from a 
cybernetic organism.","A small storage drive from a 
cybernetic organism.","Una piccola unità di archiviazione di un organismo
cibernetico.",
NEW,,"The elongated finger of a 
nightmare creature.","The elongated finger of a 
nightmare creature.",Il dito allungato di una creatura da incubo.,
NEW,,"A strange rock that fell from 
a meteor beast.","A strange rock that fell from 
a meteor beast.",Una strana roccia caduta da una bestia meteorica.,
NEW,,"A small flask containing the 
venom of a giant scorpion.","A small flask containing the 
venom of a giant scorpion.","Una piccola fiaschetta contenente il veleno di uno
scorpione gigante.",
NEW,,"A strange bone-like structure 
from another dimension.","A strange bone-like structure 
from another dimension.","Una strana struttura simile a un osso proveniente
da un'altra dimensione.",
NEW,,"A single scale from an ancient
wyrm.","A single scale from an ancient
wyrm.",Una singola scaglia di un antico drago.,
NEW,,"The beating heart of a stone 
gargoyle.","The beating heart of a stone 
gargoyle.",Il cuore pulsante di un gargoyle di pietra.,
NEW,,"
[Weapons]
","
[Weapons]
",[Armi],
NEW,,"A wand that slightly increases its wielder's 
magical powers.","A wand that slightly increases its wielder's 
magical powers.","Una bacchetta che aumenta leggermente i poteri
magici di chi la impugna.",
NEW,,"A silver wand that increases its wielder's magical
powers.","A silver wand that increases its wielder's magical
powers.","Una bacchetta d'argento che aumenta i poteri
magici di chi la impugna.",
NEW,,"A mithril rod that increases its wielder's magical
powers.","A mithril rod that increases its wielder's magical
powers.","Una bacchetta di mithril che aumenta i poteri
magici di chi la impugna.",
NEW,,"A dragon staff that increases its wielder's 
magical powers.","A dragon staff that increases its wielder's 
magical powers.","Un bastone di drago che aumenta i poteri magici di
chi lo impugna.",
NEW,,"A flail with a stone head attached to its handle 
with a chain.","A flail with a stone head attached to its handle 
with a chain.","Un flagello con una testa di pietra attaccata al
manico tramite una catena.",
NEW,,"A flail with a bronze head attached to its handle 
with a chain.","A flail with a bronze head attached to its handle 
with a chain.","Un flagello con una testa di bronzo fissata al
manico tramite una catena.",
NEW,,"A flail that has been strengthened using fangs of 
a dragon.","A flail that has been strengthened using fangs of 
a dragon.",Un flagello rinforzato con le zanne di un drago.,
NEW,,"A battle glove with spikes attached to its 
knuckles.","A battle glove with spikes attached to its 
knuckles.","Un guanto da battaglia con punte attaccate alle
nocche.",
NEW,,"A crossbow that shoots arrows with powerful 
springs.","A crossbow that shoots arrows with powerful 
springs.",Una balestra che scocca frecce con molle potenti.,
NEW,,"A crossbow that shoots mithril arrows with 
powerful springs.","A crossbow that shoots mithril arrows with 
powerful springs.","Una balestra che scocca frecce di mithril con
molle potenti.",
NEW,,"A traditional Japanese sword with exceptional 
cutting power.","A traditional Japanese sword with exceptional 
cutting power.","Una spada tradizionale giapponese con un potere di
taglio eccezionale.",
NEW,,"A blade infused with ancient runes that glow with 
power.","A blade infused with ancient runes that glow with 
power.","Una lama intrisa di antiche rune che brillano di
potere.",
NEW,,"A blade that absorbs light, becoming almost 
invisible when swung.","A blade that absorbs light, becoming almost 
invisible when swung.","Una lama che assorbe la luce, diventando quasi
invisibile quando viene oscillata.",
NEW,,"A pump-action shotgun with devastating close-range
power.","A pump-action shotgun with devastating close-range
power.","Un fucile a pompa con una potenza devastante a
corto raggio.",
NEW,,"A military-grade automatic rifle with excellent 
accuracy.","A military-grade automatic rifle with excellent 
accuracy.","Un fucile automatico di livello militare con
un'eccellente precisione.",
NEW,,"A high-powered rifle for extreme long-range 
precision.","A high-powered rifle for extreme long-range 
precision.","Un fucile ad alta potenza per un'estrema
precisione a lunga gittata.",
NEW,,"A curved throwing stick that returns to the 
thrower.","A curved throwing stick that returns to the 
thrower.","Un bastone da lancio curvo che ritorna al
lanciatore.",
NEW,,"A sword with an energy blade that can cut through 
almost anything.","A sword with an energy blade that can cut through 
almost anything.","Una spada con una lama energetica che può tagliare
quasi tutto.",
NEW,,"A launcher that creates miniature gravity wells to
crush targets.","A launcher that creates miniature gravity wells to
crush targets.","Un lanciatore che crea pozzi gravitazionali in
miniatura per schiacciare i bersagli.",
NEW,,"A massive sword carved from a single piece of 
obsidian.","A massive sword carved from a single piece of 
obsidian.","Un'enorme spada ricavata da un unico pezzo di
ossidiana.",
NEW,,"A staff made from the World Tree, resonating with 
nature.","A staff made from the World Tree, resonating with 
nature.","Un bastone ricavato dall'Albero del Mondo, in
risonanza con la natura.",
NEW,,"A whip made from enchanted thorns that drain life 
force.","A whip made from enchanted thorns that drain life 
force.","Una frusta fatta di spine incantate che
prosciugano la forza vitale.",
NEW,,"A chain of razor-sharp rings that can be thrown or
used as a whip.","A chain of razor-sharp rings that can be thrown or
used as a whip.","Una catena di anelli affilati come rasoi che
possono essere lanciati o usati come frusta.",
NEW,,"An implanted arm cannon that fires concussive 
energy blasts.","An implanted arm cannon that fires concussive 
energy blasts.","Un cannone impiantato nel braccio che spara
raffiche di energia concussive.",
NEW,,"Retractable titanium claws embedded in cybernetic 
hands.","Retractable titanium claws embedded in cybernetic 
hands.","Artigli retrattili in titanio incastonati in mani
cibernetiche.",
NEW,,"A shoulder-mounted targeting system firing guided 
mini-rockets.","A shoulder-mounted targeting system firing guided 
mini-rockets.","Un sistema di puntamento montato sulla spalla che
spara mini-razzi guidati.",
NEW,,"A neural-linked weapon that morphs between blade 
and gun modes.","A neural-linked weapon that morphs between blade 
and gun modes.","Un'arma neurale che si trasforma dalla modalità
lama a quella pistola.",
NEW,,"A staff that summons and controls lightning 
strikes.","A staff that summons and controls lightning 
strikes.",Un bastone che evoca e controlla i fulmini.,
NEW,,"A bow that fires arrows of pure ice that freeze on
impact.","A bow that fires arrows of pure ice that freeze on
impact.","Un arco che scocca frecce di ghiaccio puro che si
congelano all'impatto.",
NEW,,"A trident that commands the power of raging 
storms.","A trident that commands the power of raging 
storms.","Un tridente che comanda il potere delle tempeste
più impetuose.",
NEW,,"The mythical sword of King Arthur, glowing with 
holy power.","The mythical sword of King Arthur, glowing with 
holy power.","La mitica spada di Re Artù, splendente di potere
sacro.",
NEW,,"The mighty hammer of the thunder god, which 
returns when thrown.","The mighty hammer of the thunder god, which 
returns when thrown.","Il potente martello del dio del tuono, che ritorna
quando viene lanciato.",
NEW,,"A mysterious blade said to be able to cut through 
dimensions.","A mysterious blade said to be able to cut through 
dimensions.","Una lama misteriosa che si dice sia in grado di
tagliare le dimensioni.",
NEW,,"A pair of golden claws said to be worn by a god of
war.","A pair of golden claws said to be worn by a god of
war.","Un paio di artigli dorati che si dice siano
indossati da un dio della guerra.",
NEW,,"A staff holding the wisdom of the ages and 
limitless magical power.","A staff holding the wisdom of the ages and 
limitless magical power.","Un bastone che racchiude la saggezza dei secoli e
un potere magico illimitato.",
NEW,,"An ancient sword constantly surrounded by 
crackling electricity.","An ancient sword constantly surrounded by 
crackling electricity.","Un'antica spada costantemente circondata da
elettricità crepitante.",
NEW,,"A pair of enchanted curved daggers that leave 
trails of light.","A pair of enchanted curved daggers that leave 
trails of light.","Un paio di pugnali ricurvi incantati che lasciano
scie di luce.",
NEW,,"A sword with a serrated edge made from dragon 
scales.","A sword with a serrated edge made from dragon 
scales.","Una spada con la lama seghettata ricavata dalle
scaglie di un drago.",
NEW,,"A dart gun that fires needles coated with 
paralyzing toxin.","A dart gun that fires needles coated with 
paralyzing toxin.","Una pistola a dardi che spara aghi ricoperti di
una tossina paralizzante.",
NEW,,"A staff carved from a branch of the ancient World 
Tree.","A staff carved from a branch of the ancient World 
Tree.","Un bastone ricavato da un ramo dell'antico albero
del Mondo.",
NEW,,"A curved blade that glows with the light of a 
distant star.","A curved blade that glows with the light of a 
distant star.","Una lama curva che brilla della luce di una stella
lontana.",
NEW,,"A pair of heavy steel gauntlets reinforced with 
adamantine.","A pair of heavy steel gauntlets reinforced with 
adamantine.","Un paio di pesanti guanti d'acciaio rinforzati con
adamantio.",
NEW,,"A throwing blade that splits into multiple 
projectiles in flight.","A throwing blade that splits into multiple 
projectiles in flight.","Una lama da lancio che si divide in più proiettili
in volo.",
NEW,,"A pair of arm-mounted iron tonfa used in various 
martial arts.","A pair of arm-mounted iron tonfa used in various 
martial arts.","Un paio di tonfa di ferro montati sul braccio,
utilizzati in varie arti marziali.",
NEW,,"Wooden training nunchaku connected by a short 
chain.","Wooden training nunchaku connected by a short 
chain.","Nunchaku da allenamento in legno collegati da una
corta catena.",
NEW,,"Steel nunchaku with reinforced links and spiked 
ends.","Steel nunchaku with reinforced links and spiked 
ends.","Nunchaku in acciaio con maglie rinforzate ed
estremità chiodate.",
NEW,,"A four-sectioned staff connected by chains for 
complex techniques.","A four-sectioned staff connected by chains for 
complex techniques.","Un bastone a quattro sezioni collegate da catene
per tecniche complesse.",
NEW,,"Reinforced fighting gloves with iron plates over 
the knuckles.","Reinforced fighting gloves with iron plates over 
the knuckles.","Guanti da combattimento rinforzati con piastre di
ferro sulle nocche.",
